iter	RMSE
0	11180.21964
1	10357.40705
2	9677.731868
3	9021.993557
4	8475.6518
5	7982.035813
6	7516.043238
7	7103.178403
8	6753.635519
9	6452.057542
10	6157.012285
11	5942.887847
12	5737.870337
13	5567.136601
14	5421.669585
15	5287.376726
16	5163.535337
17	5053.632486
18	4959.600403
19	4874.323037
20	4800.990245
21	4746.848726
22	4697.462363
23	4652.257296
24	4611.048218
25	4585.940785
26	4555.568359
27	4523.113836
28	4494.007536
29	4459.786233
30	4428.728948
31	4408.75036
32	4392.403649
33	4382.030899
34	4367.969667
35	4352.299533
36	4343.389707
37	4329.355654
38	4315.797434
39	4304.531302
40	4289.660996
41	4275.271826
42	4266.46318
43	4253.326849
44	4248.973766
45	4238.189119
46	4223.182884
47	4213.850998
48	4207.16232
49	4200.472038
