iter	RMSE
0	11666.79568
1	11302.96552
2	10982.16493
3	10652.54429
4	10357.86262
5	10071.91822
6	9782.265658
7	9500.081817
8	9235.123952
9	8993.500869
10	8744.901437
11	8544.331767
12	8336.053482
13	8168.81069
14	7979.196518
15	7793.589871
16	7622.632806
17	7459.816612
18	7302.983356
19	7155.812045
20	7004.746737
21	6859.779195
22	6723.373785
23	6593.216445
24	6468.465439
25	6358.105101
26	6248.854587
27	6141.569728
28	6044.306252
29	5940.732186
30	5850.371058
31	5776.708297
32	5701.889311
33	5620.482732
34	5554.591257
35	5489.945407
36	5421.075196
37	5353.898876
38	5298.308331
39	5243.1109
40	5189.202909
41	5142.850303
42	5093.264503
43	5043.152755
44	5000.23144
45	4957.944819
46	4921.552769
47	4885.417326
48	4855.344303
49	4825.955513
50	4796.203939
51	4769.059838
52	4752.963204
53	4725.044021
54	4701.254321
55	4678.21404
56	4653.647273
57	4634.859163
58	4615.342855
59	4595.93767
60	4575.337281
61	4558.654094
62	4541.579759
63	4526.448108
64	4509.20439
65	4499.567514
66	4486.969413
67	4475.563984
68	4461.507284
69	4449.287116
70	4437.765231
71	4426.35659
72	4413.98992
73	4401.975133
74	4389.725514
75	4379.779609
76	4370.57863
77	4360.739669
78	4351.31268
79	4341.427491
80	4333.87193
81	4326.183054
82	4318.447886
83	4311.068591
84	4305.169707
85	4297.772882
86	4293.339481
87	4287.723192
88	4280.215766
89	4273.977964
90	4266.486778
91	4260.58461
92	4254.680379
93	4247.421165
94	4244.397884
95	4241.296395
96	4235.9388
97	4231.320025
98	4228.369911
99	4221.944881
100	4221.242721
101	4216.131687
102	4211.558287
103	4205.818613
104	4199.382973
105	4195.256566
106	4193.459822
107	4188.959734
108	4186.701896
109	4183.047885
110	4179.324561
111	4172.640518
112	4168.892363
113	4164.692322
114	4160.724337
115	4154.444464
116	4150.132325
117	4145.10818
118	4139.812306
119	4132.208122
120	4130.360453
121	4127.181211
122	4121.361527
123	4118.73005
124	4113.95578
125	4109.890796
126	4105.583565
127	4103.688795
128	4098.485014
129	4095.140647
130	4089.980691
131	4086.630831
132	4082.112241
133	4080.15561
134	4076.42158
135	4075.562252
136	4070.91865
137	4069.085959
138	4066.705673
139	4064.14847
140	4061.617245
141	4058.98884
142	4053.348414
143	4051.862708
144	4049.396721
145	4047.810161
146	4045.530527
147	4040.14971
148	4037.224827
149	4036.648533
150	4035.117292
151	4033.684693
152	4029.390447
153	4025.793262
154	4023.023498
155	4020.846234
156	4018.736416
157	4016.634324
158	4014.04458
159	4010.650604
160	4007.799327
161	4001.587239
162	3997.967961
163	3993.748557
164	3991.150176
165	3989.744259
166	3985.197451
167	3981.953719
168	3980.592169
169	3978.36677
170	3975.687548
171	3973.80145
172	3971.005828
173	3968.704072
174	3966.223472
175	3962.670794
176	3960.265049
177	3956.546808
178	3952.172014
179	3950.279139
180	3947.840259
181	3944.310834
182	3942.470238
183	3941.079399
184	3939.805628
185	3936.787774
186	3933.288491
187	3931.099622
188	3930.32893
189	3928.859627
190	3926.171338
191	3924.108505
192	3922.570038
193	3919.993436
194	3917.457936
195	3913.956041
196	3910.552312
197	3907.370749
198	3903.952469
199	3900.878682
200	3898.201529
201	3896.284093
202	3895.091464
203	3894.237955
204	3893.132688
205	3891.78607
206	3889.648218
207	3886.33209
208	3883.77156
209	3881.475745
210	3877.2215
211	3876.31411
212	3875.033679
