iter	RMSE
0	11765.77927
1	11410.04835
2	11099.31956
3	10779.11593
4	10493.52909
5	10213.0252
6	9930.461925
7	9665.553124
8	9408.216918
9	9169.781324
10	8944.311563
11	8713.488626
12	8498.544568
13	8284.582735
14	8106.455245
15	7913.975872
16	7733.614721
17	7569.029486
18	7402.344026
19	7239.583298
20	7101.08947
21	6957.368212
22	6825.363402
23	6697.496683
24	6581.377925
25	6478.293688
26	6367.087708
27	6264.050934
28	6167.56272
29	6066.559124
30	5974.852417
31	5896.717003
32	5817.933852
33	5748.73919
34	5679.064986
35	5609.537736
36	5544.515481
37	5480.185536
38	5418.987332
39	5358.792905
40	5305.906558
41	5259.845171
42	5211.297551
43	5167.012117
44	5127.010628
45	5086.124694
46	5047.769558
47	5008.717362
48	4973.170777
49	4937.88903
50	4903.946577
51	4874.74299
52	4843.399563
53	4817.881368
54	4787.526209
55	4763.062171
56	4740.994132
57	4717.478869
58	4697.41018
59	4673.99396
60	4654.251285
61	4633.645637
62	4613.844127
63	4594.973796
64	4579.803331
65	4562.780702
66	4544.157755
67	4530.261123
68	4514.22791
69	4501.689627
70	4489.923568
71	4479.323211
72	4464.924005
73	4460.295814
74	4452.347841
75	4441.249961
76	4432.318513
77	4422.748462
78	4410.755135
79	4402.29016
80	4394.820712
81	4386.045258
82	4379.747584
83	4371.361906
84	4364.274183
85	4359.108367
86	4353.374574
87	4344.01992
88	4336.64414
89	4328.756753
90	4322.905164
91	4316.218028
92	4310.635969
93	4303.02441
94	4296.560879
95	4288.861681
96	4283.862408
97	4279.895339
98	4274.903171
99	4266.973009
100	4262.170387
101	4258.641537
102	4252.96568
103	4246.657444
104	4244.264356
105	4241.200975
106	4235.441694
107	4232.26297
108	4228.775267
109	4224.886404
110	4223.822318
111	4218.391402
112	4215.429599
113	4211.120729
114	4209.474896
115	4200.397244
116	4196.387246
117	4192.79815
118	4189.255992
119	4183.35078
120	4179.127922
121	4175.058265
122	4169.23847
123	4167.485601
124	4165.187546
125	4163.599199
126	4156.423636
127	4151.125292
128	4148.362645
129	4142.996225
130	4139.393563
131	4133.761338
132	4127.801523
133	4124.318259
134	4120.903464
135	4115.757653
136	4111.745577
137	4109.612264
138	4105.394239
139	4102.111423
140	4093.885569
141	4092.616957
142	4090.270836
143	4086.102689
144	4083.392364
145	4080.89049
146	4077.854671
147	4075.761365
148	4072.456511
149	4071.741641
150	4067.640407
151	4062.826736
152	4060.32083
153	4055.787138
154	4052.828967
155	4050.663989
156	4049.733205
157	4047.232092
158	4046.598893
159	4043.49015
160	4038.157762
161	4035.72618
162	4032.139602
163	4030.49054
164	4028.026129
165	4023.166618
166	4017.641973
167	4016.777783
168	4013.596708
169	4005.931191
170	4001.483631
171	3997.012872
172	3994.655884
173	3990.034682
174	3987.746599
175	3986.199201
176	3982.542577
177	3978.089368
178	3976.491575
179	3973.582659
180	3967.895098
181	3962.346838
182	3960.199579
183	3956.442896
184	3954.066438
185	3953.24389
186	3951.602417
187	3950.014644
188	3947.315587
189	3943.187326
190	3938.220182
191	3936.232242
192	3933.400821
193	3931.867822
194	3929.950207
195	3926.967804
196	3921.217947
197	3918.383775
198	3917.425543
199	3911.544853
200	3909.299536
201	3905.277767
202	3901.128326
203	3899.080747
204	3896.056976
205	3892.427932
206	3890.446597
207	3889.131788
208	3886.147107
209	3884.477602
210	3881.656108
211	3878.151814
212	3876.756462
213	3874.787412
214	3873.887704
215	3871.945571
216	3870.493491
217	3867.738232
218	3864.637557
219	3864.15849
220	3862.804767
221	3859.362007
222	3858.715283
223	3852.695697
224	3851.568371
225	3848.025226
226	3847.150338
227	3845.852782
228	3844.421381
229	3843.44911
230	3843.087827
231	3840.832466
232	3839.53463
233	3838.666026
234	3836.813323
235	3834.543329
236	3833.038243
237	3830.541415
238	3828.038709
239	3826.152731
240	3825.184918
241	3823.154655
242	3822.959341
243	3820.551093
244	3819.704957
245	3818.307421
246	3815.142894
247	3814.288794
248	3811.267684
249	3810.093979
250	3807.955813
251	3806.458298
252	3803.691816
253	3800.818609
254	3799.903488
255	3797.250394
256	3794.21652
257	3791.253702
258	3788.077482
259	3787.14378
260	3784.443951
261	3781.966358
262	3779.319571
263	3778.000967
264	3777.340487
265	3774.677239
266	3771.979306
267	3771.052098
268	3768.387199
269	3765.701133
270	3765.132979
271	3761.98855
272	3759.757592
273	3756.665879
274	3754.413977
275	3749.315576
276	3746.656652
277	3745.147227
278	3742.736376
279	3740.531371
280	3737.95098
281	3735.856537
282	3735.369052
283	3734.764192
284	3734.313425
285	3732.961395
286	3731.863724
287	3728.212269
288	3726.417698
289	3725.682827
290	3724.467303
291	3720.782125
292	3719.88901
293	3718.727967
294	3715.831314
295	3715.322864
296	3712.803352
297	3711.700211
298	3710.575634
299	3709.19719
300	3708.601776
301	3704.389245
302	3701.1805
303	3700.551364
304	3699.981415
305	3696.538156
306	3693.450535
307	3692.999904
308	3688.717311
309	3686.006442
310	3684.997911
311	3683.633742
312	3681.634964
313	3680.740888
314	3675.92349
315	3670.765837
316	3666.665494
317	3665.718134
318	3662.22191
319	3660.201972
320	3656.069554
321	3653.148274
322	3652.241157
323	3649.649757
324	3646.791679
325	3645.654511
326	3642.866849
327	3641.74754
328	3639.481849
329	3635.700079
330	3634.000747
331	3632.240547
332	3628.685914
333	3626.414618
334	3624.155535
335	3623.617942
336	3623.321931
337	3620.277789
338	3619.633588
339	3614.353298
340	3613.920685
341	3612.944975
342	3610.633127
343	3608.84126
344	3607.466542
345	3603.124961
346	3600.182548
347	3597.653691
348	3597.246054
349	3594.659526
350	3592.026265
351	3587.526194
352	3584.256562
353	3583.399799
354	3579.151235
355	3578.449282
356	3574.855952
357	3574.592216
358	3570.691386
359	3566.578179
360	3564.287701
361	3563.14666
362	3562.128044
363	3560.770353
364	3558.659745
365	3558.178295
366	3555.898806
367	3552.833614
368	3551.936439
369	3550.468229
370	3549.889333
371	3547.922133
372	3545.058231
373	3544.184416
374	3542.887833
375	3542.047373
376	3537.623397
377	3535.369774
378	3532.664123
379	3531.541758
380	3530.46078
381	3528.097197
382	3522.928281
383	3519.107519
384	3518.282727
385	3516.098942
386	3514.209705
387	3512.102162
388	3509.872755
389	3509.280564
390	3507.440727
391	3504.886438
392	3504.302145
393	3502.949173
394	3501.782402
395	3501.166083
396	3498.901712
397	3497.694185
398	3496.342718
399	3493.680809
400	3492.427142
401	3491.6533
402	3490.173839
403	3486.423612
404	3484.712382
405	3483.905766
406	3482.284717
407	3479.834234
408	3475.68955
409	3475.045228
410	3473.725393
411	3472.94872
412	3472.443725
413	3469.798433
