iter	Passed	Remaining
0	251	251550
1	253	126547
2	256	85187
3	259	64684
4	263	52359
5	265	44008
6	268	38075
7	270	33591
8	281	30956
9	282	28009
10	285	25700
11	291	23970
12	293	22308
13	296	20887
14	298	19605
15	301	18565
16	306	17704
17	309	16869
18	311	16107
19	313	15340
20	315	14708
21	320	14230
22	324	13803
23	327	13327
24	330	12889
25	338	12678
26	341	12299
27	344	11947
28	352	11803
29	356	11525
30	361	11288
31	362	10964
32	367	10780
33	371	10550
34	374	10315
35	376	10088
36	381	9937
37	384	9729
38	386	9526
39	388	9335
40	391	9150
41	394	9004
42	396	8834
43	399	8679
44	402	8533
45	410	8511
46	412	8367
47	414	8224
48	416	8087
49	419	7962
50	422	7867
51	425	7762
52	426	7623
53	429	7519
54	432	7423
55	434	7329
56	440	7294
57	443	7210
58	446	7118
59	448	7026
60	451	6950
61	455	6892
62	457	6810
63	460	6731
64	462	6656
65	464	6568
66	469	6537
67	471	6457
68	473	6390
69	476	6325
70	478	6263
71	481	6205
72	485	6170
73	492	6168
74	499	6161
75	504	6128
76	506	6068
77	508	6012
78	510	5954
79	513	5905
80	516	5861
81	519	5813
82	521	5760
83	523	5709
84	525	5659
85	530	5637
86	533	5593
87	535	5550
88	538	5509
89	543	5495
90	546	5455
91	549	5421
92	552	5386
93	556	5359
94	558	5321
95	559	5269
96	561	5228
97	563	5189
98	566	5153
99	569	5125
100	572	5091
101	575	5068
102	578	5041
103	585	5047
104	588	5015
105	591	4984
106	592	4943
107	594	4912
108	596	4874
109	602	4870
110	604	4841
111	609	4831
112	613	4815
113	618	4804
114	621	4785
115	624	4761
116	627	4739
117	632	4727
118	635	4704
119	638	4681
120	641	4659
121	648	4667
122	651	4645
123	654	4621
124	656	4595
125	659	4571
126	662	4552
127	665	4530
128	668	4511
129	670	4489
130	677	4493
131	680	4472
132	682	4450
133	686	4433
134	689	4421
135	694	4410
136	697	4393
137	700	4376
138	706	4373
139	709	4357
140	712	4341
141	718	4338
142	723	4337
143	727	4325
144	733	4327
145	737	4316
146	748	4343
147	752	4329
148	755	4315
149	757	4291
150	760	4273
151	764	4266
152	767	4249
153	770	4235
154	773	4216
155	776	4199
156	780	4191
157	784	4178
158	787	4166
159	790	4151
160	797	4158
161	800	4142
162	803	4125
163	805	4107
164	809	4094
165	811	4078
166	814	4061
167	816	4045
168	819	4028
169	822	4015
170	825	3999
171	827	3983
172	829	3966
173	833	3958
174	836	3945
175	840	3936
176	843	3923
177	846	3910
178	849	3897
179	855	3896
180	857	3881
181	861	3869
182	863	3856
183	867	3846
184	870	3835
185	881	3857
186	887	3859
187	890	3846
188	892	3829
189	895	3816
190	898	3805
191	901	3795
192	904	3780
193	906	3767
194	909	3753
195	911	3738
196	914	3729
197	917	3716
198	919	3701
199	921	3687
200	924	3675
201	926	3660
202	931	3658
203	934	3645
204	936	3631
205	938	3618
206	941	3605
207	946	3605
208	949	3592
209	951	3579
210	954	3568
211	956	3555
212	959	3544
213	963	3539
214	965	3526
215	968	3516
216	971	3505
217	975	3500
218	978	3489
219	981	3479
220	984	3468
221	988	3464
222	993	3460
223	996	3450
224	998	3439
225	1000	3427
226	1003	3415
227	1008	3414
228	1010	3400
229	1012	3388
230	1014	3376
231	1016	3364
232	1018	3353
233	1023	3351
234	1029	3351
235	1033	3344
236	1043	3357
237	1046	3349
238	1049	3340
239	1056	3344
240	1059	3335
241	1062	3327
242	1081	3369
243	1084	3360
244	1089	3357
245	1092	3349
246	1095	3340
247	1105	3353
248	1113	3357
249	1118	3354
250	1130	3373
251	1134	3368
252	1138	3362
253	1141	3353
254	1145	3345
255	1151	3345
256	1156	3343
257	1159	3335
258	1163	3327
259	1168	3326
260	1171	3317
261	1175	3310
262	1182	3312
263	1185	3305
264	1188	3296
265	1191	3288
266	1195	3282
267	1203	3288
268	1208	3282
269	1211	3276
270	1218	3277
271	1242	3326
272	1247	3321
273	1250	3313
274	1260	3323
275	1263	3314
276	1266	3305
277	1273	3307
278	1276	3298
279	1279	3290
280	1295	3313
281	1298	3306
282	1301	3297
283	1306	3294
284	1310	3288
285	1313	3280
286	1321	3282
287	1325	3276
288	1328	3267
289	1331	3260
290	1337	3257
291	1342	3254
292	1345	3247
293	1355	3253
294	1358	3245
295	1364	3245
296	1368	3239
297	1372	3233
298	1376	3226
299	1380	3220
300	1385	3216
301	1390	3212
302	1393	3204
303	1396	3197
304	1400	3191
305	1403	3182
306	1405	3173
307	1409	3166
308	1416	3166
309	1421	3164
310	1426	3159
311	1429	3152
312	1432	3144
313	1435	3136
314	1445	3143
315	1449	3137
316	1452	3129
317	1462	3136
318	1465	3128
319	1468	3120
320	1476	3123
321	1480	3116
322	1484	3112
323	1489	3108
324	1493	3100
325	1496	3093
326	1499	3086
327	1509	3093
328	1512	3085
329	1516	3079
330	1524	3081
331	1539	3097
332	1542	3089
333	1545	3081
334	1548	3073
335	1553	3069
336	1560	3070
337	1563	3062
338	1568	3058
339	1571	3051
340	1590	3073
341	1593	3065
342	1596	3058
343	1603	3057
344	1606	3050
345	1610	3043
346	1613	3036
347	1617	3030
348	1621	3025
349	1625	3018
350	1631	3016
351	1634	3009
352	1637	3002
353	1640	2994
354	1652	3001
355	1654	2993
356	1657	2985
357	1663	2982
358	1667	2976
359	1670	2969
360	1673	2962
361	1678	2958
362	1681	2951
363	1685	2945
364	1688	2937
365	1692	2931
366	1694	2923
367	1697	2915
368	1700	2907
369	1702	2899
370	1707	2894
371	1710	2887
372	1713	2879
373	1715	2871
374	1718	2863
375	1720	2855
376	1724	2850
377	1727	2842
378	1730	2835
379	1732	2826
380	1734	2818
381	1739	2813
382	1741	2806
383	1744	2798
384	1747	2790
385	1759	2798
386	1762	2791
387	1764	2783
388	1767	2775
389	1771	2770
390	1773	2762
391	1775	2754
392	1777	2745
393	1779	2737
394	1783	2731
395	1786	2724
396	1789	2717
397	1791	2710
398	1794	2703
399	1797	2695
400	1799	2687
401	1801	2680
402	1804	2673
403	1808	2668
404	1810	2660
405	1813	2652
406	1816	2646
407	1819	2640
408	1822	2633
409	1824	2625
410	1826	2617
411	1828	2609
412	1830	2602
413	1834	2596
414	1837	2589
415	1839	2582
416	1841	2575
417	1844	2567
418	1846	2560
419	1851	2556
420	1853	2549
421	1855	2541
422	1859	2536
423	1862	2530
424	1868	2527
425	1871	2521
426	1874	2515
427	1877	2508
428	1882	2505
429	1885	2499
430	1890	2495
431	1895	2491
432	1897	2484
433	1900	2477
434	1909	2480
435	1912	2474
436	1915	2468
437	1918	2461
438	1923	2457
439	1927	2453
440	1930	2447
441	1933	2440
442	1937	2436
443	1940	2429
444	1943	2423
445	1945	2417
446	1948	2410
447	1953	2406
448	1955	2399
449	1957	2392
450	1959	2385
451	1962	2378
452	1965	2373
453	1968	2367
454	1970	2360
455	1973	2354
456	1976	2348
457	1980	2344
458	1983	2338
459	1985	2331
460	1988	2324
461	1990	2317
462	1992	2311
463	1997	2307
464	2000	2301
465	2003	2295
466	2005	2288
467	2007	2282
468	2017	2283
469	2019	2277
470	2022	2272
471	2029	2270
472	2031	2263
473	2034	2257
474	2036	2250
475	2038	2244
476	2041	2238
477	2044	2232
478	2046	2225
479	2048	2219
480	2050	2212
481	2052	2206
482	2055	2200
483	2059	2195
484	2062	2189
485	2064	2183
486	2066	2177
487	2069	2171
488	2074	2167
489	2076	2161
490	2079	2155
491	2082	2149
492	2085	2144
493	2089	2139
494	2093	2135
495	2096	2130
496	2098	2124
497	2100	2117
498	2104	2112
499	2106	2106
500	2109	2100
501	2111	2094
502	2113	2088
503	2116	2082
504	2121	2079
505	2124	2073
506	2126	2067
507	2128	2061
508	2131	2055
509	2136	2053
510	2139	2047
511	2141	2041
512	2144	2035
513	2146	2029
514	2151	2025
515	2154	2020
516	2156	2014
517	2159	2009
518	2161	2003
519	2167	2000
520	2169	1994
521	2171	1988
522	2174	1983
523	2176	1977
524	2181	1973
525	2184	1968
526	2186	1962
527	2189	1956
528	2191	1950
529	2193	1944
530	2196	1939
531	2199	1934
532	2201	1928
533	2203	1922
534	2205	1916
535	2207	1911
536	2210	1905
537	2212	1900
538	2215	1894
539	2217	1888
540	2219	1883
541	2223	1879
542	2226	1873
543	2228	1868
544	2231	1862
545	2239	1862
546	2242	1856
547	2244	1851
548	2246	1845
549	2248	1839
550	2250	1834
551	2254	1829
552	2257	1824
553	2260	1819
554	2262	1814
555	2265	1808
556	2266	1802
557	2268	1797
558	2271	1791
559	2273	1786
560	2275	1780
561	2277	1774
562	2279	1769
563	2283	1765
564	2286	1760
565	2289	1755
566	2292	1750
567	2296	1746
568	2299	1741
569	2301	1736
570	2303	1730
571	2307	1726
572	2310	1721
573	2312	1716
574	2314	1711
575	2317	1706
576	2320	1701
577	2326	1698
578	2328	1693
579	2330	1687
580	2332	1682
581	2334	1676
582	2337	1671
583	2340	1667
584	2342	1661
585	2344	1656
586	2346	1651
587	2348	1645
588	2350	1639
589	2353	1635
590	2355	1630
591	2357	1625
592	2359	1619
593	2361	1614
594	2364	1609
595	2366	1603
596	2369	1599
597	2372	1595
598	2375	1590
599	2377	1585
600	2380	1580
601	2384	1576
602	2386	1571
603	2389	1566
604	2391	1561
605	2393	1555
606	2395	1550
607	2398	1546
608	2401	1541
609	2403	1536
610	2406	1531
611	2412	1529
612	2416	1525
613	2418	1520
614	2421	1515
615	2423	1510
616	2425	1505
617	2428	1500
618	2431	1496
619	2433	1491
620	2436	1486
621	2438	1481
622	2440	1476
623	2442	1471
624	2444	1466
625	2447	1462
626	2450	1457
627	2452	1452
628	2454	1447
629	2456	1442
630	2458	1437
631	2462	1433
632	2465	1429
633	2467	1424
634	2470	1419
635	2472	1415
636	2476	1411
637	2478	1406
638	2480	1401
639	2483	1396
640	2485	1391
641	2487	1387
642	2489	1382
643	2492	1378
644	2495	1373
645	2497	1368
646	2500	1364
647	2502	1359
648	2504	1354
649	2507	1349
650	2509	1345
651	2511	1340
652	2514	1336
653	2516	1331
654	2518	1326
655	2521	1322
656	2524	1317
657	2526	1313
658	2529	1308
659	2536	1306
660	2539	1302
661	2541	1297
662	2543	1292
663	2545	1288
664	2547	1283
665	2550	1278
666	2553	1274
667	2555	1270
668	2558	1265
669	2561	1261
670	2564	1257
671	2570	1254
672	2573	1250
673	2576	1246
674	2579	1242
675	2584	1238
676	2587	1234
677	2589	1229
678	2592	1225
679	2595	1221
680	2600	1217
681	2603	1213
682	2606	1209
683	2609	1205
684	2611	1201
685	2616	1197
686	2619	1193
687	2621	1188
688	2624	1184
689	2626	1179
690	2630	1176
691	2633	1172
692	2635	1167
693	2638	1163
694	2641	1159
695	2646	1155
696	2649	1151
697	2652	1147
698	2654	1143
699	2657	1138
700	2662	1135
701	2664	1131
702	2667	1126
703	2669	1122
704	2672	1118
705	2678	1115
706	2680	1110
707	2682	1106
708	2684	1101
709	2687	1097
710	2690	1093
711	2692	1089
712	2695	1084
713	2697	1080
714	2699	1075
715	2701	1071
716	2705	1067
717	2707	1063
718	2709	1058
719	2711	1054
720	2713	1050
721	2715	1045
722	2718	1041
723	2721	1037
724	2723	1033
725	2725	1028
726	2728	1024
727	2730	1020
728	2732	1015
729	2736	1012
730	2739	1007
731	2741	1003
732	2743	999
733	2745	995
734	2748	991
735	2751	987
736	2754	982
737	2756	978
738	2759	974
739	2762	970
740	2765	966
741	2767	962
742	2770	958
743	2772	954
744	2775	949
745	2777	945
746	2780	941
747	2782	937
748	2785	933
749	2787	929
750	2789	924
751	2791	920
752	2793	916
753	2798	912
754	2801	909
755	2803	904
756	2805	900
757	2807	896
758	2810	892
759	2813	888
760	2815	884
761	2817	880
762	2819	875
763	2821	871
764	2823	867
765	2827	863
766	2829	859
767	2831	855
768	2833	851
769	2835	847
770	2837	842
771	2841	839
772	2844	835
773	2846	831
774	2849	827
775	2852	823
776	2856	819
777	2859	815
778	2861	811
779	2863	807
780	2866	803
781	2868	799
782	2870	795
783	2873	791
784	2876	787
785	2878	783
786	2880	779
787	2882	775
788	2884	771
789	2887	767
790	2890	763
791	2892	759
792	2894	755
793	2896	751
794	2898	747
795	2902	743
796	2905	740
797	2908	736
798	2910	732
799	2913	728
800	2916	724
801	2919	720
802	2922	716
803	2923	712
804	2925	708
805	2927	704
806	2929	700
807	2932	696
808	2935	693
809	2937	689
810	2939	685
811	2941	681
812	2943	677
813	2946	673
814	2949	669
815	2952	665
816	2954	661
817	2956	657
818	2959	654
819	2962	650
820	2965	646
821	2967	642
822	2969	638
823	2971	634
824	2973	630
825	2975	626
826	2978	623
827	2981	619
828	2983	615
829	2986	611
830	2988	607
831	2990	603
832	2992	599
833	2996	596
834	3001	593
835	3003	589
836	3005	585
837	3009	581
838	3011	577
839	3013	574
840	3016	570
841	3018	566
842	3020	562
843	3022	558
844	3026	555
845	3028	551
846	3030	547
847	3032	543
848	3034	539
849	3036	535
850	3039	532
851	3042	528
852	3044	524
853	3047	520
854	3049	517
855	3052	513
856	3055	509
857	3057	506
858	3059	502
859	3061	498
860	3063	494
861	3065	490
862	3068	487
863	3071	483
864	3074	479
865	3076	475
866	3078	472
867	3080	468
868	3082	464
869	3085	461
870	3087	457
871	3089	453
872	3091	449
873	3094	446
874	3096	442
875	3098	438
876	3101	435
877	3104	431
878	3106	427
879	3108	423
880	3110	420
881	3113	416
882	3116	412
883	3118	409
884	3120	405
885	3123	401
886	3125	398
887	3127	394
888	3130	390
889	3133	387
890	3135	383
891	3137	379
892	3140	376
893	3142	372
894	3148	369
895	3150	365
896	3156	362
897	3158	358
898	3163	355
899	3165	351
900	3168	348
901	3170	344
902	3172	340
903	3174	337
904	3178	333
905	3180	329
906	3182	326
907	3184	322
908	3187	319
909	3189	315
910	3192	311
911	3195	308
912	3197	304
913	3200	301
914	3202	297
915	3204	293
916	3206	290
917	3209	286
918	3212	283
919	3215	279
920	3217	275
921	3219	272
922	3222	268
923	3224	265
924	3226	261
925	3228	258
926	3230	254
927	3233	250
928	3235	247
929	3239	243
930	3241	240
931	3244	236
932	3246	233
933	3249	229
934	3253	226
935	3255	222
936	3257	219
937	3259	215
938	3262	211
939	3264	208
940	3266	204
941	3270	201
942	3274	197
943	3276	194
944	3278	190
945	3280	187
946	3284	183
947	3286	180
948	3289	176
949	3291	173
950	3293	169
951	3295	166
952	3297	162
953	3301	159
954	3303	155
955	3305	152
956	3307	148
957	3310	145
958	3312	141
959	3315	138
960	3318	134
961	3320	131
962	3322	127
963	3324	124
964	3326	120
965	3329	117
966	3332	113
967	3335	110
968	3337	106
969	3340	103
970	3343	99
971	3346	96
972	3348	92
973	3350	89
974	3352	85
975	3355	82
976	3357	79
977	3359	75
978	3362	72
979	3364	68
980	3367	65
981	3369	61
982	3371	58
983	3373	54
984	3376	51
985	3379	47
986	3381	44
987	3383	41
988	3385	37
989	3387	34
990	3389	30
991	3393	27
992	3396	23
993	3398	20
994	3400	17
995	3402	13
996	3404	10
997	3407	6
998	3410	3
999	3412	0
